iter	Passed	Remaining
890	8779	1074
891	8789	1064
892	8799	1054
893	8812	1044
894	8825	1035
895	8837	1025
896	8849	1016
897	8860	1006
898	8869	996
899	8880	986
900	8892	977
901	8900	967
902	8911	957
903	8922	947
904	8931	937
905	8942	927
906	8952	917
907	8962	908
908	8972	898
909	8981	888
910	8991	878
911	9002	868
912	9011	858
913	9020	848
914	9029	838
915	9038	828
916	9047	818
917	9062	809
918	9075	799
919	9087	790
920	9098	780
921	9110	770
922	9121	760
923	9132	751
924	9143	741
925	9154	731
926	9164	721
927	9174	711
928	9185	702
929	9196	692
930	9209	682
931	9219	672
932	9230	662
933	9240	652
934	9250	643
935	9261	633
936	9271	623
937	9282	613
938	9293	603
939	9304	593
940	9315	584
941	9325	574
942	9336	564
943	9347	554
944	9358	544
945	9368	534
946	9377	524
947	9386	514
948	9395	504
949	9404	494
950	9413	485
951	9422	475
952	9431	465
953	9439	455
954	9451	445
955	9460	435
956	9470	425
957	9480	415
958	9492	405
959	9503	395
960	9513	386
961	9524	376
962	9535	366
963	9546	356
964	9557	346
965	9567	336
966	9577	326
967	9589	317
968	9599	307
969	9609	297
970	9619	287
971	9630	277
972	9640	267
973	9652	257
974	9662	247
975	9674	237
976	9688	228
977	9704	218
978	9716	208
979	9727	198
980	9739	188
981	9751	178
982	9762	168
983	9773	158
984	9783	148
985	9793	139
986	9804	129
987	9815	119
988	9825	109
989	9835	99
990	9845	89
991	9857	79
992	9868	69
993	9877	59
994	9889	49
995	9899	39
996	9909	29
997	9918	19
998	9928	9
999	9940	0
